,text,term,start,end,polarity
346,"Please try the Filet Mignon, its just the most tender piece ever.",Filet Mignon,15,27,positive
3176,Their Margarita is best I've had since I've returned from Naples!,Margarita,6,15,positive
1223,All the pastas are fantastic and the homemade lasagna is some of the best that I have had in the City.,pastas,8,14,positive
2642,"The service was attentive, yet discreet.",service,4,11,positive
2292,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",decor,73,78,positive
1282,"On the other hand, if you are not fooled easily, you will find hundreds of restaurants that will give you service and ambiance that is on par with Alain Ducasse, and food that will outshine in presentaion, taste, choice, quality and quantity.",quantity,233,241,negative
910,"Super friendly and knowledgable staff, fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!",live jazz,99,108,positive
205,"This place is really trendi but they have forgotten about the most important part of a  restaurant, the food.",food,104,108,negative
3357,"Going to Volare is like going to your favorite aunt's house for dinner, assuming that your aunt is a great Italian cook.",dinner,64,70,neutral
161,The last time I went we were seated at a table in a corridor next to the kitchen.,table,41,46,negative
2689,"This is the perfect spot for meeting friends, having lunch, dinner, pre-theatre or after-theatre drinks!",lunch,53,58,positive
1440,"The sandwiches are dry, tasteless and way overpriced.",sandwiches,4,14,negative
2203,We've never had any problems with the staff but maybe we've been lucky?,staff,38,43,positive
3480,"While most people can attest to spending over $50 on drinks in New York bars and hardly feeling a thing, the drinks here are plentiful and unique.",bars,72,76,negative
1813,This little place definitely exceeded my expectations and you sure get a lot of food for your money.,money,94,99,positive
3133,"Over time, the food quality has decreased substantially, it is a lot less crowded than it used to, and the service must definitely be part of the reason.",food quality,15,27,negative
1289,"The portions are now very small, the sauces are overly-ambitious usually inedible while the service is still good, the restaurant, due to its popularity, seems frantic.",portions,4,12,negative
2027,My wife had the fried shrimp which are huge and loved it.,fried shrimp,16,28,positive
2205,Drinks way over priced.,priced,16,22,negative
3247,"During the course of the past 3 months, the chef and staff changed and it was not for the better.",staff,53,58,negative
3114,"You will pay a lot for the decore, but the food is no better or worse than a lot of other Chinese and Asian fusion places in NY.",food,43,47,neutral
297,The waitress suggested glasses of wine that went very well with the food.,waitress,4,12,positive
736,"The food is fresh, delicious, and reasonably priced.",food,4,8,positive
1332,"Whether it's the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to Northern Italy with one bite.",parmesean porcini souffle,17,42,positive
3426,The service was great as well.,service,4,11,positive
2884,The food is authentic Italian - delicious!,food,4,8,positive
2987,20 minutes for our reservation but it gave us time to have a few cocktails and enjoy our surroundings and each other.,surroundings,89,101,positive
3444,The all-Italian staff is warm and engaging from the start.,staff,16,21,positive
1348,"they didn't disappoint, service from the second i arrived at the door was extremely pleasant and attentive with almost one server per table.",server,123,129,positive
1798,"Try the congee and the donut like deep fried dough they call Ow Ley Soh, a delicious and sweet tasting bread.",congee,8,14,positive
2034,Both times we waited well over a half hour for a table (even though we had reservations).,reservations,75,87,negative
618,"($200 for 2 glasses of champagne, not too expensive bottle of wine and 2 after dinner drinks).",glasses of champagne,12,32,negative
3646,"I don't know about you guys, but when I go somewhere to eat I go for the food not for the atmosphere.",food,73,77,neutral
428,"The noise level was unbearable, conversation impossible.",noise level,4,15,negative
3592,Veal Parmigana - Better than Patsy's!,Veal Parmigana,0,14,positive
796,"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",food,4,8,positive
3628,Kind of a small place but I guess if they are not too busy might be able to fit a group or kids.,place,16,21,negative
1262,"not the food ,not the ambiance , not the service, I agree with the previous reviews you wait and wait , the wait staff are very rude and when you get in they are looking to get you right out .",service,41,48,neutral
364,"It is set far from the small street it's on, and there is no traffic noise.",traffic noise,61,74,positive
3111,Since my first dinner I have had the chance to have brunch at Orsay 3x.,dinner,15,21,neutral
3506,Horrible food and Horrible service.,food,9,13,negative
3507,Horrible food and Horrible service.,service,27,34,negative
3577,All in all the food was above average and I would return to see how they operate with four or less dinners.,dinners,99,106,neutral
3298,Get the tuna of gari.,tuna,8,12,positive
1774,"The menu changed, portions were even smaller than before, a lentil dish was salty beyond edibility, a basmati rice dish lacked flavor.",flavor,127,133,negative
2900,"We a menu that rearely changes,e xcept for one or two specials, the quality and care they put in thier food in evident.",quality,68,75,positive
649,"The waitress remembers me and is very friendly, she knows what my regular is and that's the fried mini buns with the condensed milk and the assorted fruits on beancurd.",waitress,4,12,positive
3610,"Sake collection was excellent (Try Nanbu Bijin), but pricy.",Sake collection,0,15,conflict
2016,"So, a little inconsistency there but either way, both pizzas were really good.",pizzas,54,60,positive
294,"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",anti-pasta,4,14,positive
219,"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",tables,101,107,neutral
721,Friendly staff that actually lets you enjoy your meal and the company you're with.,staff,9,14,positive
2840,The makhani was OK --the korma was bland.,korma,25,30,negative
3135,Great pizza and fantastic service.,pizza,6,11,positive
2476,"If the omakase is to showcase technique and variety, serving almost 40% of items BBQ-ed and a spicy tuna roll wrapped with not-so-fresh nori seems to be a rather limp performance.",serving,53,60,neutral
1142,Other apetizers and food,food,20,24,neutral
523,"There was a small wait, but shorter than I expected.",wait,18,22,conflict
472,Ive been here a bunch of times now and the service is always outstanding.,service,43,50,positive
3516,Their exotic salad is basic ly a delcious little green salad with a peanut sauce that is perfect before their sweet basil fried tofu.,peanut sauce,68,80,positive
29,The seats are uncomfortable if you are sitting against the wall on wooden benches.,seats,4,9,negative
131,We had the lobster sandwich and it was FANTASTIC.,lobster sandwich,11,27,positive
1985,Fish is so very fresh.,Fish,0,4,positive
2580,"Small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.",entree,24,30,negative
2675,"The dosas are skimpy, unattractive and drip with grease, and personally I'd drink popcorn topping before I'd eat another one of these.",dosas,4,9,negative
2540,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",food,54,58,positive
831,"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.",tramezzinis,45,56,positive
232,"Ambiance and music funky, which I enjoy.",music,13,18,positive
3329,"The only weird thing was if we got a bottle, the waitress would have simply multiplied the glass price X4, which makes no sense whatsoever.",price,97,102,negative
2011,"We had reservations at 9pm, but was not seated until 10:15pm.",reservations,7,19,negative
3423,"Plus, when our entrees were held up in the kitchen on a busy Saturday night, the owner sent over complimentary summer rolls to hold us over!",entrees,15,22,negative
589,"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.",Delivery,43,51,positive
3082,"The waiters are sweet, the food is tasty and the bill is never too large.",bill,49,53,positive
1605,While the food was good (certainly no Il Mulino) the service was horrendous.,service,53,60,negative
54,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",puff pastry goat cheese,51,74,positive
1171,"If it's just a quick martini at the bar (which I recommend Jeffery's) or a mind blowing Roast Chicken, go to Village!",bar,36,39,neutral
2608,Price and quality of fish alone will keep us from making a return visit.,Price,0,5,negative
865,There are other people waiting!,waiting,23,30,negative
3112,Since my first dinner I have had the chance to have brunch at Orsay 3x.,brunch,52,58,neutral
2714,(and I have eaten my share) Which impresses me for having such a large amount of people to serve.,serve,91,96,positive
2858,We ended our great experience by having Gulab Jamun (dessert) recommended by the waiter.,Gulab Jamun (dessert),40,61,positive
304,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",crab dumplings,113,127,positive
2825,The sushi is also great!,sushi,4,9,positive
1792,"If you're looking for a great meal at a decent price, go to Del Frisco's!",price,47,52,positive
437,"head and shoulders above its neighboors on east 6 st, taj mahal is also very comparable, in food quality, to the much overpraised (and underdeserving) baluchi's.",food quality,92,104,positive
2804,"I have been a longtime fan of Holy Basil in the East Village, and while I do believe their food has slightly slipped in quality, I have been hesitant to be disloyal.",food,91,95,negative
28,"All the money went into the interior decoration, none of it went to the chefs.",chefs,72,77,negative
2104,The miso soup lacked flavor and the fish was unfortunately not as well prepared as in the past.,miso soup,4,13,negative
3013,"Stay away from the two specialty rolls on the menu, though- too much avocado and rice will fill you up right quick.",menu,46,50,neutral
1919,"Great service, great food.",food,21,25,positive
1492,"The food inludes famous scrumptious bombay style chaat such as bhelpuri, sevpuri and samosa chaats, as well as other great indian appetizers.",samosa chaats,85,98,positive
1019,"All in all, this midtown gem instantly became one of my favorite sushi restaurants in the city.",sushi,65,70,positive
895,The sauce on the pizza is sooo good with garlic and fresh tomatoes and they don't skimp.,garlic,41,47,positive
829,"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.",bruschettas,23,34,positive
1752,The quality of food at this restaurant accompanied  by fantastic live jazz makes this place a perfect 10!,quality of food,4,19,positive
594,"I found the food to be outstanding, particulary the salmon dish I had.",food,12,16,positive
3527,"The chicken and steak were seasoned and cooked to perfection, and the lamb sandwhich is great for heartier appetites.",steak,16,21,positive
846,"The photobook menu was a cute touch, certainly helped my group and I pick the fried chicken, pork chop, and noodle dishes that we all ordered.",fried chicken,78,91,neutral
464,The restaurant looks out over beautiful green lawns to the Hudson River and the Statue of Liberty.,lawns,46,51,positive
1322,"Waiters tend to forget drinks completely, food portions are so tiny, two people have trouble sharing one entree.",entree,105,111,negative
3447,If you go here - your focus should be the Tamarind Margaritas.,Tamarind Margaritas,42,61,positive
2721,"Had 1 appetizer, 2 entrees and 2 cokes and the bill was ~$55.00, not including tip.",cokes,33,38,neutral
1397,This isn't your corner Chinese food takeout.,Chinese food,23,35,neutral
2093,Waitstaff are very friendly.,Waitstaff,0,9,positive
1433,"The freshest, best variety, and the fastest delivery.",delivery,44,52,positive
3504,We usually just get some of the dinner specials and they are very reasonably priced and very tasty.,dinner specials,32,47,positive
3239,"My host asked for appetizers for the group and the waiter gave us not only what we ordered, but some other items that were not ordered.",waiter,51,57,neutral
1353,They used shredded cheese on top!,shredded cheese,10,25,neutral
1203,all the food was excellent - considering the quality of food in most moderately priced restaurants is mediocre this was slightly more pricey and well worth it.,priced,80,86,neutral
712,The food was great.,food,4,8,positive
1379,"Haru serves very fresh fish, has a trendy, modern ambiance, prime location on Park Avenue South and friendly service.",service,109,116,positive
2886,I complete the total bagel experience by having it lightly toasted.,bagel,21,26,positive
2388,"Where tanks in other Chinatown restaurants display a lurking myriad of sad-looking marine life in their murky waters, the tanks at Ping's are clear as glass with healthy-looking creatures who do not yet know that they will be part of some dim sum lover's brunch.",tanks,122,127,positive
2406,"We ordered the chicken casserole, but what we got were a few small pieces of chicken, all dark meat and on the bone.",chicken,77,84,negative
3380,We had a 3 hour brunch- they definitely do not rush you- and they kept the unlimited mimosas flowing the whole time.,mimosas,85,92,positive
2668,"After we got our sashimi order, I could not believe how small the portions were!",portions,66,74,negative
1675,"This place has the best interior I have seen anywhere in the northside of W'burg, and will impress whoever you bring there.",interior,24,32,positive
2756,The wine list is extensive and can easily hike up an otherwise reasonably priced meal.,priced,74,80,positive
3180,"The tables are crammed way too close, the menu is typical of any Italian restaurant, and the wine list is simply overpriced.",tables,4,10,negative
356,"The service, wine selection, ambiance are all outstanding and deserve recognition.",ambiance,29,37,positive
2329,The sicilian is my favorite it is moist not dry like most places but all their pizza is great!,sicilian,4,12,positive
949,"Our waitress was sweet and accomodating, not overbearing.",waitress,4,12,positive
2923,Their wines by the glass are a great accompaniment and you can eat like a king with wine for under $30.,wines by the glass,6,24,positive
1073,Located at the end of a magnificent block.,Located,0,7,positive
2335,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",service,30,37,positive
3373,but the service was a bit slow.,service,8,15,negative
2250,one of the best Chicken Tikka Masala.,Chicken Tikka Masala,16,36,positive
490,also make sure you pay attention to the music being piped in - quite a weird selection.,music,40,45,neutral
1458,The ceiling is amazing!,ceiling,4,11,positive
705,Prices are higher to dine in and their chicken tikka marsala is quite good.,chicken tikka marsala,39,60,positive
39,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",food,20,24,positive
2425,The food itself was just ok - nothing spectacular - but the service was awful.,food,4,8,neutral
2086,"My GF and I still choose to eat there a lot because of diverse cocktails, the chill decor, and the decent sushi.",cocktails,63,72,positive
2831,Truly the mark of an attentive waiter.,waiter,31,37,positive
1918,"Great service, great food.",service,6,13,positive
298,The waitress suggested glasses of wine that went very well with the food.,food,68,72,neutral
1917,The red sliding doors may be unique but they do not block off the cold air from the outside.,doors,16,21,conflict
3273,The 'kamasutra' and 'bombay cosmopolitan' are excellent and will have you tipsy in no time.,bombay cosmopolitan,21,40,positive
1321,"Waiters tend to forget drinks completely, food portions are so tiny, two people have trouble sharing one entree.",drinks,23,29,neutral
176,They have authentic Indian at amazin prices.,prices,37,43,positive
2066,"We made early dinner reservations and were thoroughly impressed, reminds me of my grandfather, its old school Italian scenery with lots of fun stuff to admire.",scenery,118,125,positive
2376,Ummm...the beer was cold.,beer,11,15,positive
147,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",cuisine,104,111,positive
2111,"$160 for 2 filets, 2 sides, an appetizer and drinks.",filets,11,17,neutral
1237,"While the food was excellent, it wasn't cheap (though not extremely expensive either).",food,10,14,positive
2647,We went to eat at the Jekyll and Hyde restaurant on Friday night and really enjoyed the fun atmosphere and good food.,atmosphere,92,102,positive
1048,Has the chef and owner changed???,chef,8,12,neutral
514,"The place is larger than most and features adequate seating unlike most joints, and has a bar which deserves a mention.",seating,52,59,positive
683,"Well, their deliveries take for ever and the food is usually cold.",food,45,49,negative
2324,"Everything, from the soft bread, soggy salad, and 50 minute wait time, with an incredibly rude service to deliver below average food.",salad,39,44,negative
2202,The Thai ice tea was amazingly smooth and yummy!,Thai ice tea,4,16,positive
3514,Their exotic salad is basic ly a delcious little green salad with a peanut sauce that is perfect before their sweet basil fried tofu.,green salad,49,60,positive
2530,"Service is friendly, prices are good - delivery time was a little slow, but for the way this pizza tastes, I'm willing to overlook it.",delivery time,39,52,negative
2168,"Only drawback - they won't toast your bagel, and they don't make eggs for the bagel.",bagel,78,83,negative
3635,"Because of the delicate thin crust, take-out pies get soggy in their boxes.",crust,29,34,negative
3522,"The food came out wrong, the waiter was no where to be found and the wine showed up at the end of the meal.",food,4,8,negative
737,"The food is fresh, delicious, and reasonably priced.",priced,45,51,positive
3143,"While this is a pretty place in that overly cute French way, the food was insultingly horrible.",food,65,69,negative
2941,"We all ate pasta entre'es, which were great.",pasta entre'es,11,25,positive
3005,"Nice ambiance, nice little bar, good bartender, Francois, and good service.",ambiance,5,13,positive
2951,Terrific menu full of unique rolls and special dishes.,dishes,47,53,positive
954,"Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.",menu,27,31,negative
2070,I could have drank 4 glasses of water and still been parched - so watch out.,glasses of water,21,37,neutral
481,"Spice is great Thai food, love the inexpensive appetizers.",appetizers,47,57,positive
170,Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,reservation,71,82,negative
841,"So if you want a nice, enjoyable meal at Montparnasse, go early for the pre-theater prix-fixe.",pre-theater prix-fixe,72,93,positive
2366,"Everything looks great, the drinks, the decor, the food, even the people.",food,51,55,positive
2266,The pizza is overpriced and soggy.,pizza,4,9,negative
1766,"Apparently, the good cook works then.",cook,21,25,positive
2556,The entertainment was great they have shows that go on through out the dinner.,entertainment,4,17,positive
1346,Try the olive cream cheese or the lox spread on a whole wheat everything bagel.,bagel,73,78,neutral
2374,The only disappointment was the coat check girls who didn't seem to know what a customer is on a realtively non-busy night (for the coat check girls).,coat check girls,132,148,negative
772,"Authentic food and they have REAL service, not just the rush you get sometimes when they try to push you out the door.",service,34,41,positive
2672,"When family came in he gave them apps to test their palets, and then ordered for them.",apps,33,37,neutral
2952,The service is ok but could be better.,service,4,11,negative
3467,The sandwhiches are out-of-this world!,sandwhiches,4,15,positive
3603,"However, if you want great food at a great price and don't mind the decor, you can't beat this place.",price,43,48,positive
2953,"We love the food, drinks, and atmosphere!",food,12,16,positive
1118,Sauce was watery and the food didn't have much flavor.,food,25,29,negative
2482,go here for the drinks!,drinks,16,22,positive
75,After really enjoying ourselves at the bar we sat down at a table and had dinner.,bar,39,42,positive
2489,We had a party in their private room and they made it truly memorable and were very helpful in the planning.,private room,24,36,neutral
2087,"My GF and I still choose to eat there a lot because of diverse cocktails, the chill decor, and the decent sushi.",decor,84,89,positive
2709,The food was exceptional.,food,4,8,positive
253,The other night we had the $30 three course meal and everything was delicious - if I could of licked the plate clean I would of.,three course meal,31,48,positive
2794,"Seriously, this is the best all you can eat in town- As everyone says, the Spicy Tuna hand rolls are the best- have 4 of these, and you've broken even.",Spicy Tuna hand rolls,75,96,positive
10,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,dish,113,117,neutral
2543,"The food however, is what one might expect.",food,4,8,neutral
3183,The food was actually aweful.,food,4,8,negative
2278,What an amazing meal and experience!,meal,16,20,positive
3513,Their exotic salad is basic ly a delcious little green salad with a peanut sauce that is perfect before their sweet basil fried tofu.,exotic salad,6,18,positive
1373,"Hopefully next time, I will save room for dessert.",dessert,42,49,neutral
3565,"When we notified him that he didn't mention the specials, he didn't apologize but let us know that we made a very good decision regardless.",specials,48,56,neutral
2850,Food was OK - fish was cooked well.,fish,14,18,positive
3456,"I didn't expect to like Nosh as much as I did, but the pastrami on challah sandwich I had was otherworldly, the soups are like Mom's, and the knishes give Yonah Schimmel's a run for its money.",knishes,142,149,positive
3217,"If you're looking for a place to sit down, have a drink and conversations with friends, go to sweet-n-tart and order yourself a hong-kong styled milk and tea with tapioca pearls (hot).",tea with tapioca pearls (hot),154,183,positive
1777,Patroon features a nice cigar bar and has great staff.,staff,48,53,positive
1856,"To finish off such a delightful dinner experience you must have dessert, especially the White Chocolate Bread Pudding with Gelato and hot chocolate.",White Chocolate Bread Pudding with Gelato and hot chocolate,88,147,positive
1293,"The owner is very friendly and a great guy, go try his pizza, you'll like it!",owner,4,9,positive
2134,The staff is courteous and friendly.,staff,4,9,positive
1855,"To finish off such a delightful dinner experience you must have dessert, especially the White Chocolate Bread Pudding with Gelato and hot chocolate.",dessert,64,71,positive
1161,We had champagne and caviar and felt like princesses!,caviar,21,27,positive
1068,"Service was warm and attentive, beef carpaachio was exellent (huge portion) and pasta was fresh and well-prepared.",portion,67,74,positive
2978,"this is the best secret place in midtown', I heard that from the bartender, after having brilliant food ( try steak with portobello mushrooms) and drinks on the bar last Tuesday.",food,99,103,positive
473,The bill is approximately $25 for 2 at lunch without drinks.,bill,4,8,neutral
2387,"Where tanks in other Chinatown restaurants display a lurking myriad of sad-looking marine life in their murky waters, the tanks at Ping's are clear as glass with healthy-looking creatures who do not yet know that they will be part of some dim sum lover's brunch.",tanks,6,11,negative
3213,The waiters and owners were nonchalant about this and promised to call the exterminator but weren't as dismayed or apologetic as I would have expected.,owners,16,22,negative
1145,"The crust is thin, the ingredients are fresh and the staff is friendly.",crust,4,9,positive
2187,"The food is decent at best, and the ambience, well, it's a matter of opinion, some may consider it to be a sweet thing, I thought it was just annoying.",ambience,36,44,conflict
3538,The fish is fresh and each piece is sliced to perfection and seasoned by the sushi chef (usually with a little fresh wasabi and soy sauce but also sometimes with some sea salt).,sushi chef,77,87,positive
1474,"The Pad thai, lad nar and various other dishes all look good on paper but, I've had better thai food in less asthetically pleasing places.",Pad thai,4,12,conflict
1594,"Great for groups, great for a date, great for early brunch or a nightcap.",nightcap,64,72,positive
1932,We did have to wait at the bar for approx.,bar,27,30,neutral
3132,The best pad thai i've ever had.,pad thai,9,17,positive
1649,The white bean brushetta to start was incredible and the pasta was phenomenal.,white bean brushetta,4,24,positive
2992,"at taj, vegetarians can rejoice-all the dishes are manna from heaven.",dishes,40,46,positive
1442,The fried rice is really good too.,fried rice,4,14,positive
389,"The food was really good, I had the onion soup and it was one of the best ever.",food,4,8,positive
1132,Make reservations but expect to be delayed 15-20 minutes as the hosting staff was having difficulty seating guests who arrived with a reservation because they probably had a lot of walk ins being so close to Time Square.,hosting staff,64,77,negative
3559,"they did give a 15% discount at the end, wasn't enough, as they knew the service was horrible.",service,73,80,negative
922,It is kinda nosiy and the tables are close together but it's still a beautiful place to enjoy a nice dinner.,dinner,101,107,positive
1036,"However, in the summer of 2003, it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup.",glass front,115,126,negative
555,The food is awesome - definitely try the striped bass.,striped bass,41,53,positive
545,"Otherwise, this place has great service and prices and a nice friendly atmosphere.",prices,44,50,positive
1695,Dahkin also offers prix fixe lunch and buffet.,buffet,39,45,positive
3437,"The food is definitely good, but I left a bit disappointed.",food,4,8,positive
808,"For all of you new to Indian food, try the Paneer Roll, it is a piece of heaven.",Indian food,22,33,positive
1826,"The staff was accomodating, the food was absolutely delicious and the place is lovely.",food,32,36,positive
496,Service has always been friendly and efficient.,Service,0,7,positive
116,"The atmosphere is unheralded, the service impecible, and the food magnificant.",food,61,65,positive
501,The table next to us asked if he crushed the grapes himself when their long overdue bottle of wine finally arrived.,bottle of wine,84,98,neutral
769,Check out the secret back room.,secret back room,14,30,positive
424,Quick and friendly service.,service,19,26,positive
1631,The all you can eat deal is truly amazing here.,all you can eat deal,4,24,positive
2748,I cannot imagine a friendlier staff working in a restaurant.,staff,30,35,positive
1139,They don't seem to place an emphasis on specials or fresh ingredients which to me is necessary for good thai.,ingredients,58,69,negative
3160,"Unlike other places in NYC where the sandwiches you want only come as a triple-decker, here you can get what you want in a reasonably-sized portion (and price).",sandwiches,37,47,negative
3232,"The ambiance is minimal the food is not phenomenal, but some dishes are quite good, such as the eggplant parmesan, veal in carozza chicken saltimbocca.",ambiance,4,12,positive
2999,And I would have to agree with the masses in terms of service - delivery is their Achilles' heel.,service,54,61,negative
3178,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",sake list,6,15,positive
2805,"I have been a longtime fan of Holy Basil in the East Village, and while I do believe their food has slightly slipped in quality, I have been hesitant to be disloyal.",quality,120,127,negative
1478,"The Pad thai, lad nar and various other dishes all look good on paper but, I've had better thai food in less asthetically pleasing places.",thai food,91,100,neutral
3584,"For appetizers, I recommend the shrimp fritters and dumplings.",appetizers,4,14,neutral
3203,Owner must have coem on this website to give himself credit.,Owner,0,5,neutral
2375,My fiance took me to Scopa last week for my birthday and I couldn't believe the food.,food,80,84,positive
1818,"Service was excellent, and the AC worked very well too (thank God, it was hot!).",AC,31,33,positive
757,It takes forever to get a drink and they almost always forget to bring something (although they dont forget to charge you for it.,drink,26,31,neutral
2822,I have eaten a lot of pizza here.,pizza,22,27,neutral
898,"We recently decided to try this location, and to our delight, they have outdoor seating, perfect since I had my yorkie with me.",outdoor seating,72,87,positive
2521,"If you want Americanized Chinese food with your usual watery, generic white sauce, this is your place.",white sauce,70,81,negative
1199,"Their eggplant is so delicate, sweet tender!",eggplant,6,14,positive
901,"My husband had the mesclun, salmon, and ice cream and he enjoyed all 3 courses.",ice cream,40,49,positive
141,Their tuna tartar appetizer is to die for.,tuna tartar appetizer,6,27,positive
2108,I've read some of the previews reviews - people are either not New Yorkers or have more appreciation for ambience then food.,ambience,105,113,neutral
795,"It is the type of place to run into old friends and have a late, raucus dinner.",dinner,72,78,positive
1769,I ate clams oreganta and spectacular salad with perfectly marinated cucumbers and tomatoes with lots of shrimp and basil.,salad with perfectly marinated cucumbers and tomatoes with lots of shrimp and basil,37,120,positive
340,"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.",meal,124,128,neutral
1170,"If it's just a quick martini at the bar (which I recommend Jeffery's) or a mind blowing Roast Chicken, go to Village!",martini,21,28,neutral
3052,And they provided a delicious dessert on the house!,dessert,30,37,positive
3661,Get the soup and a nosh (pastrami sandwich) for $8 and you're golden.,nosh (pastrami sandwich),19,43,positive
2295,"Great selection of wine, and seafood.",seafood,29,36,positive
2040,We had the scallops as an appetizer and they were delicious and the sauce was wonderful.,scallops,11,19,positive
529,"For some reason, all the seafood on the menu was unavailable except for the Salmon.",menu,40,44,negative
2412,"I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab.",soupy dumplings,52,67,positive
3406,"Ambience is so cute and quaint, good for business although we were there on vacation.",Ambience,0,8,positive
966,The scallion pancakes and fried dumplings were nothing out of the ordinary.,fried dumplings,26,41,neutral
1269,"Nha Trang, while being notorious for utter lack of comfort and decor, horribly slow wait staff and horribly quick meals, is one of the best vietnamese restaurants i've ever been to. the pho is delicious and comes with very fresh vegtables.",comfort,51,58,negative
48,The price is reasonable although the service is poor.,service,37,44,negative
450,"Decor is nice and minimalist, food simple yet very well presented and cooked, and the wine list matches the food very well.",food,30,34,positive
2857,The staff offers impeccable service.,service,28,35,positive
96,The menu is limited but almost all of the dishes are excellent.,menu,4,8,negative
1027,"The Steak Tartare is a great bet, they fix it for you at the table.",Steak Tartare,4,17,positive
3481,"While most people can attest to spending over $50 on drinks in New York bars and hardly feeling a thing, the drinks here are plentiful and unique.",drinks,109,115,positive
3165,They couldn't even make a salad that was appealing.,salad,26,31,negative
849,I cannot imagine better Indian food in all of the city.,Indian food,24,35,positive
345,"Get your food to go, find a bench, and kick back with a plate of dumplings.",plate of dumplings,56,74,positive
18,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",plate,170,175,neutral
1702,"It's like they took leftover chicken, poured oil and sprinkled pepper powder over it (the sauce was translucent and red).",chicken,29,36,negative
2007,"I only tried a simple dish of spinach ravioli in a light oil and garlic sauce, but it actually faired better than most NYC Italian joints I've tried similar dishes at.",dishes,157,163,neutral
187,I look forward to eating here again,eating,18,24,positive
1438,Dinner took almost 4 hours without any lag time.,Dinner,0,6,negative
2112,"$160 for 2 filets, 2 sides, an appetizer and drinks.",sides,21,26,neutral
2842,"though the service could be better (possibly due to more than one very large group in the house), it is very cordial and warm, as is the general clientele.",service,11,18,conflict
1745,Service was good and food is wonderful.,Service,0,7,positive
248,"Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.",space,12,17,negative
613,i don't usually order wine with indian so i can't comment on their wine list or their wines.,indian,32,38,neutral
890,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",sushi,75,80,positive
2068,The place was nice and calm.,place,4,9,positive
1039,"Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance.",seasoning,114,123,negative
110,I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,atmosphere,50,60,positive
1499,I'm still mad that i had to pay for lousy food.,food,42,46,negative
1788,"Fluke sashimi drizzled with jalapeno-lime olive oil, the fruit of the oil nicely highlighting the fish's sweetness.",fruit of the oil,57,73,positive
84,"Great food, good size menu, great service and an unpretensious setting.",food,6,10,positive
1236,The hot dogs were cold in the middle and the buns were stale.,buns,45,49,negative
1589,"My husband said the portions were very small, but if my main course was good to eat the portion would've been fine for me.",portions,20,28,negative
1169,There is also very limited seating and there can be a substantial wait in getting food at peak times.,wait,66,70,negative
1396,"Great food, great prices, great service.",service,32,39,positive
396,"It costs $2 extra to turn a regular roll into an inside-out roll, but the roll more than triples in size, and that's not just from the rice.",roll,60,64,negative
1821,My friend ordered some of their special sushi rolls which had excellent presentation and tasted great!,sushi rolls,40,51,positive
443,As we were sitting eating the subpar food the manager proceeded to berate a couple of his employees for putting out the wrong containers for condiments and explained to them how expensive these containers were.,employees,90,99,negative
